id;title;author;description;book_id;rent_cnt
1;cross-platform South;copy Concrete conglomeration;PCI leverage;49062;17090
2;Account Steel overriding;Soft calculate Soap;동 경남;13359;86230
3;동 읍;invoice networks Dollar;Card sky;33499;58350
4;visionary e-services;Paradigm paradigms;Refined Table blue;13163;19649
5;Avon;benchmark Generic;deposit SQL;43943;41406
6;Sausages;focus Rand Integration;Rubber United mindshare;12460;3764
7;면 Garden;Bolivar Rubber;Steel core;52924;34779
8;transition orchid Synergistic;compelling Convertible;면;43558;58338
9;Product;withdrawal;Fantastic 동 quantifying;94377;82688
10;XML;Manager Account;primary;32983;11071
